Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,,,,
G,Mike Smith (13595500),Mike Smith,13595500,G,8400,DET@EDM 10/18/2019 09:00PM ET,EDM,15,#N/A,,Mike Hoffman,950,950,135
G,Mikko Koskinen (13595540),Mikko Koskinen,13595540,G,8200,DET@EDM 10/18/2019 09:00PM ET,EDM,21.47,#N/A,,Nathan MacKinnon,950,950,128
C,Connor McDavid (13595694),Connor McDavid,13595694,C/UTIL,8100,DET@EDM 10/18/2019 09:00PM ET,EDM,19.97,-112,,Mikko Rantanen,1000,1000,143
LW,Leon Draisaitl (13595659),Leon Draisaitl,13595659,W/UTIL,7900,DET@EDM 10/18/2019 09:00PM ET,EDM,22.26,100,,Aleksander Barkov,1150,1150,170
G,John Gibson (13595587),John Gibson,13595587,G,7700,CAR@ANH 10/18/2019 10:00PM ET,ANH,18.38,#N/A,,Gabriel Landeskog,1150,1150,170
G,Petr Mrazek (13595558),Petr Mrazek,13595558,G,7600,CAR@ANH 10/18/2019 10:00PM ET,CAR,15.92,#N/A,,Jonathan Huberdeau,1200,1200,180
G,Ryan Miller (13595499),Ryan Miller,13595499,G,7500,CAR@ANH 10/18/2019 10:00PM ET,ANH,20.7,#N/A,,Evgeny Dadonov,1300,1300,190
G,James Reimer (13595529),James Reimer,13595529,G,7400,CAR@ANH 10/18/2019 10:00PM ET,CAR,15.65,#N/A,,Nazem Kadri,1400,1400,215
G,Kevin Boyle (13595719),Kevin Boyle,13595719,G,7300,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Vincent Trocheck,1500,1500,240
G,Jimmy Howard (13595513),Jimmy Howard,13595513,G,6900,DET@EDM 10/18/2019 09:00PM ET,DET,12.98,#N/A,,Frank Vatrano,1600,1600,255
G,Jonathan Bernier (13595524),Jonathan Bernier,13595524,G,6700,DET@EDM 10/18/2019 09:00PM ET,DET,10.77,#N/A,,Brett Connolly,1700,1700,270
C,Dylan Larkin (13595665),Dylan Larkin,13595665,C/UTIL,6700,DET@EDM 10/18/2019 09:00PM ET,DET,11.53,175,,Denis Malgin,1800,1800,290
G,Calvin Pickard (13595555),Calvin Pickard,13595555,G,6500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Henrik Borgstrom,1900,1900,310
G,Anton Forsberg (13595600),Anton Forsberg,13595600,G,6500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Andre Burakovsky,1900,1900,300
G,Alex Nedeljkovic (13595667),Alex Nedeljkovic,13595667,G,6500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Aaron Ekblad,2000,2000,335
G,Callum Booth (13595708),Callum Booth,13595708,G,6500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,JT Compher,2000,2000,340
G,Jeremy Helvig (13595738),Jeremy Helvig,13595738,G,6500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Joonas Donskoi,2000,2000,320
D,Dougie Hamilton (13595577),Dougie Hamilton,13595577,D/UTIL,6300,CAR@ANH 10/18/2019 10:00PM ET,CAR,16.19,275,,Tyson Jost,2000,2000,340
LW,James Neal (13595514),James Neal,13595514,W/UTIL,6100,DET@EDM 10/18/2019 09:00PM ET,EDM,17.01,120,,Noel Acciari ,2200,2200,360
D,Oscar Klefbom (13595579),Oscar Klefbom,13595579,D/UTIL,6100,DET@EDM 10/18/2019 09:00PM ET,EDM,15.01,430,,Jayce Hawryluk,2200,2200,390
C,Erik Haula (13595631),Erik Haula,13595631,C/UTIL,6000,CAR@ANH 10/18/2019 10:00PM ET,CAR,12.74,295,,Dryden Hunt,2200,2200,390
RW,Anthony Mantha (13595637),Anthony Mantha,13595637,W/UTIL,5900,DET@EDM 10/18/2019 09:00PM ET,DET,19.46,163,,Colton Sceviour,2200,2200,390
D,Jaccob Slavin (13595625),Jaccob Slavin,13595625,D/UTIL,5700,CAR@ANH 10/18/2019 10:00PM ET,CAR,10.35,750,,Keith Yandle,2200,2200,390
LW,Rickard Rakell (13595583),Rickard Rakell,13595583,W/UTIL,5600,CAR@ANH 10/18/2019 10:00PM ET,ANH,11.94,195,,Vladislav Kamenev,2400,2400,400
D,Darnell Nurse (13595635),Darnell Nurse,13595635,D/UTIL,5400,DET@EDM 10/18/2019 09:00PM ET,EDM,9.43,360,,Colin Wilson,2400,2400,400
LW,Tyler Bertuzzi (13595647),Tyler Bertuzzi,13595647,W/UTIL,5300,DET@EDM 10/18/2019 09:00PM ET,DET,10.49,285,,Matt Calvert,2800,2800,475
C,Sebastian Aho (13595700),Sebastian Aho,13595700,C/UTIL,5300,CAR@ANH 10/18/2019 10:00PM ET,CAR,9.32,170,,Cale Makar,2800,2800,475
C,Ryan Nugent-Hopkins (13595573),Ryan Nugent-Hopkins,13595573,C/UTIL,5200,DET@EDM 10/18/2019 09:00PM ET,EDM,9.09,163,,Matt Nieto,2800,2800,475
RW,Teuvo Teravainen (13595613),Teuvo Teravainen,13595613,W/UTIL,5200,CAR@ANH 10/18/2019 10:00PM ET,CAR,10.36,225,,Valeri Nichushkin,3000,3000,525
LW,Andrei Svechnikov (13595761),Andrei Svechnikov,13595761,W/UTIL,5200,CAR@ANH 10/18/2019 10:00PM ET,CAR,10.1,250,,Pierre-Edouard Bellemare,3300,3300,575
C,Adam Henrique (13595561),Adam Henrique,13595561,C/UTIL,5000,CAR@ANH 10/18/2019 10:00PM ET,ANH,11,320,,Samuel Girard,3300,3300,575
RW,Jakob Silfverberg (13595569),Jakob Silfverberg,13595569,W/UTIL,4800,CAR@ANH 10/18/2019 10:00PM ET,ANH,10.09,220,,Ryan Graves,3300,3300,575
RW,Ondrej Kase (13595688),Ondrej Kase,13595688,W/UTIL,4700,CAR@ANH 10/18/2019 10:00PM ET,ANH,8.29,220,,Michael Matheson,3500,3500,650
LW,Nino Niederreiter (13595545),Nino Niederreiter,13595545,W/UTIL,4600,CAR@ANH 10/18/2019 10:00PM ET,CAR,5.41,235,,Anton Strålman,3500,3500,650
D,Brett Pesce (13595649),Brett Pesce,13595649,D/UTIL,4500,CAR@ANH 10/18/2019 10:00PM ET,CAR,11.11,750,,MacKenzie Weegar,3500,3500,650
D,Cam Fowler (13595549),Cam Fowler,13595549,D/UTIL,4400,CAR@ANH 10/18/2019 10:00PM ET,ANH,8.34,575,,Erik Johnson,3500,3500,650
LW,Ryan Dzingel (13595601),Ryan Dzingel,13595601,W/UTIL,4400,CAR@ANH 10/18/2019 10:00PM ET,CAR,8.52,275,,Nikita Zadorov,4000,4000,700
C,Andreas Athanasiou (13595623),Andreas Athanasiou,13595623,C/UTIL,4300,DET@EDM 10/18/2019 09:00PM ET,DET,4.48,230,,Conor Timmins,4500,4500,850
RW,Zack Kassian (13595538),Zack Kassian,13595538,W/UTIL,4200,DET@EDM 10/18/2019 09:00PM ET,EDM,8.49,260,,Mark Pysyk,5000,5000,900
D,Danny DeKeyser (13595629),Danny DeKeyser,13595629,D/UTIL,4200,DET@EDM 10/18/2019 09:00PM ET,DET,11.05,800,,Kevin Connauton,5500,5500,1000
D,Filip Hronek (13595734),Filip Hronek,13595734,D/UTIL,4100,DET@EDM 10/18/2019 09:00PM ET,DET,8.39,525,,Alexander Ovechkin,700,700,-127
D,Mike Green (13595509),Mike Green,13595509,D/UTIL,4000,DET@EDM 10/18/2019 09:00PM ET,DET,8.83,440,,T.J. Oshie,1050,1050,143
C,Ryan Getzlaf (13595503),Ryan Getzlaf,13595503,C/UTIL,4000,CAR@ANH 10/18/2019 10:00PM ET,ANH,7.71,320,,Evgeny Kuznetsov,1100,1100,160
D,Hampus Lindholm (13595611),Hampus Lindholm,13595611,D/UTIL,4000,CAR@ANH 10/18/2019 10:00PM ET,ANH,7.41,575,,Tom Wilson,1100,1100,160
C,Jordan Staal (13595522),Jordan Staal,13595522,C/UTIL,3900,CAR@ANH 10/18/2019 10:00PM ET,CAR,6.61,275,,Nicklas Bäckström,1200,1200,180
D,Jake Gardiner (13595532),Jake Gardiner,13595532,D/UTIL,3700,CAR@ANH 10/18/2019 10:00PM ET,CAR,6.12,650,,Mika Zibanejad,1200,1200,170
D,Ethan Bear (13595711),Ethan Bear,13595711,D/UTIL,3500,DET@EDM 10/18/2019 09:00PM ET,EDM,5.1,#N/A,,Chris Kreider,1300,1300,200
D,Kris Russell (13595520),Kris Russell,13595520,D/UTIL,3400,DET@EDM 10/18/2019 09:00PM ET,EDM,5.74,700,,Artemy Panarin,1300,1300,185
RW,Luke Glendening (13595609),Luke Glendening,13595609,W/UTIL,3400,DET@EDM 10/18/2019 09:00PM ET,DET,6.99,525,,Jakub Vrána,1400,1400,215
D,Dennis Cholowski (13595724),Dennis Cholowski,13595724,D/UTIL,3400,DET@EDM 10/18/2019 09:00PM ET,DET,5.4,900,,Lars Eller,1800,1800,285
LW,Darren Helm (13595525),Darren Helm,13595525,W/UTIL,3300,DET@EDM 10/18/2019 09:00PM ET,DET,8.67,360,,Carl Hagelin,1800,1800,285
D,Patrik Nemeth (13595553),Patrik Nemeth,13595553,D/UTIL,3300,DET@EDM 10/18/2019 09:00PM ET,DET,5.2,1300,,Pavel Buchnevich,1800,1800,275
